iter	MultiClass
0	3.768753369
1	3.681464279
2	3.598384414
3	3.510151505
4	3.434507087
5	3.359898181
6	3.288750588
7	3.218452528
8	3.155307908
9	3.085294026
10	3.021666573
11	2.968318599
12	2.912824924
13	2.858527088
14	2.806559172
15	2.755447165
16	2.710296228
17	2.66595834
18	2.61849063
19	2.577049909
20	2.531732945
21	2.485901334
22	2.447627056
23	2.408463932
24	2.37055857
25	2.334428603
26	2.298047341
27	2.262837135
28	2.2295837
29	2.198290496
30	2.16582267
31	2.136660374
32	2.10646342
33	2.077422917
34	2.050220311
35	2.023498047
36	1.995664819
37	1.968575515
38	1.94343436
39	1.918063552
40	1.894136214
41	1.868725215
42	1.847025541
43	1.823565479
44	1.801781817
45	1.777826182
46	1.757150154
47	1.735417692
48	1.715944206
49	1.696008863
50	1.676087751
51	1.656410149
52	1.63536195
53	1.61809815
54	1.599843058
55	1.584472546
56	1.567366927
57	1.548168932
58	1.530180684
59	1.513814773
60	1.498561691
61	1.481092535
62	1.464269146
63	1.449798234
64	1.43502718
65	1.421377345
66	1.406451704
67	1.390593478
68	1.377731391
69	1.363145146
70	1.350217083
71	1.334678981
72	1.322031231
73	1.308550951
74	1.295810237
75	1.284180553
76	1.273075969
77	1.262641255
78	1.250841549
79	1.240767893
80	1.228589954
81	1.219350413
82	1.210312929
83	1.199806093
84	1.190498826
85	1.180766176
86	1.170757087
87	1.161716425
88	1.152161925
89	1.144765864
90	1.136310046
91	1.129525231
92	1.120741596
93	1.114564737
94	1.104671094
95	1.096561074
96	1.088577338
97	1.079992545
98	1.071618863
99	1.063359412
100	1.057641114
101	1.049226154
102	1.04315878
103	1.039151757
104	1.032530533
105	1.027652613
106	1.020427652
107	1.016570549
108	1.009323895
109	1.001231279
110	0.9953528433
111	0.9885608514
112	0.9813133168
113	0.9773349719
114	0.9708894151
115	0.9650730973
116	0.9608619189
117	0.9535037238
118	0.9465131581
119	0.9389552406
120	0.9349677712
121	0.928216652
122	0.9239996225
123	0.9185244545
124	0.9123966987
125	0.9070464272
126	0.9016445271
127	0.8960039697
128	0.8912492717
129	0.887703217
130	0.8812884987
131	0.8782935101
132	0.875116826
133	0.8690139425
134	0.8642817978
135	0.8599874832
136	0.8546769181
137	0.8487139688
138	0.8439718464
139	0.8400659149
140	0.8360604877
141	0.8315033776
142	0.8271606112
143	0.8242007376
144	0.8203933651
145	0.8159466544
146	0.8125099518
147	0.8086858316
148	0.8043163064
149	0.7999921795
150	0.7951511625
151	0.792836703
152	0.7882886267
153	0.7834214959
154	0.7783333582
155	0.7757695925
156	0.7712759185
157	0.7680443899
158	0.7630729557
159	0.757874643
160	0.7540245605
161	0.7503649813
162	0.7466591463
163	0.7420278223
164	0.7389223766
165	0.7356492978
166	0.7312378344
167	0.726716712
168	0.7232519919
169	0.7195212762
170	0.7172535214
171	0.7136090544
172	0.7103447787
173	0.7067956805
174	0.7033007024
175	0.7002848385
176	0.6972450391
177	0.6946773831
178	0.6913732955
179	0.68855314
180	0.6853893578
181	0.6819835973
182	0.6791432285
183	0.6751044913
184	0.6720730504
185	0.66952981
186	0.6667644623
187	0.6640247465
188	0.6621988606
189	0.6593759233
190	0.6569380147
191	0.6549513437
192	0.6529618352
193	0.6505305445
194	0.6478715979
195	0.6441403571
196	0.6403634487
197	0.6371040122
198	0.6337023145
199	0.6311196419
200	0.6289772384
201	0.6257860198
202	0.6240492188
203	0.621475896
204	0.6186173653
205	0.6163298292
206	0.6142465184
207	0.6109797469
208	0.6089747679
209	0.606671058
210	0.6041444437
211	0.6017536455
212	0.5974921696
213	0.5948080055
214	0.5925364254
215	0.5903019665
216	0.5881074684
217	0.5838755885
218	0.5805123647
